wastewater_treatment_plant.name,collection_date,target,assay,gc_per_lww,id,dilution,total_droplets
ARA Werdhoelzli,2023-05-23T00:00:00Z,IBV-M,respv4,2007.866620835164,1,3,28789
ARA Werdhoelzli,2023-05-23T00:00:00Z,IBV-M,respv4,0,2,3,27274
ARA Werdhoelzli,2023-05-23T00:00:00Z,RSV-N,respv4,0,1,3,28789
ARA Werdhoelzli,2023-05-23T00:00:00Z,RSV-N,respv4,0,2,3,27274
ARA Werdhoelzli,2023-05-23T00:00:00Z,SARS-N2,respv4,201690.8178106296,1,3,27274
ARA Werdhoelzli,2023-05-23T00:00:00Z,SARS-N2,respv4,189044.9813741285,2,3,28789
ARA Werdhoelzli,2023-05-24T00:00:00Z,SARS-N1,n1mhv,106640.2975225382,1,3,26042
ARA Werdhoelzli,2023-05-24T00:00:00Z,SARS-N1,n1mhv,79403.25117701301,2,3,27682
ARA Werdhoelzli,2023-05-25T00:00:00Z,SARS-N1,n1mhv,135207.6679396864,1,3,26109
ARA Werdhoelzli,2023-05-25T00:00:00Z,SARS-N1,n1mhv,117139.349925149,2,3,24204
ARA Werdhoelzli,2023-05-25T00:00:00Z,IAV-M,respv4,0,1,3,28621
ARA Werdhoelzli,2023-05-25T00:00:00Z,IAV-M,respv4,0,2,3,27993
ARA Werdhoelzli,2023-05-25T00:00:00Z,IBV-M,respv4,6195.109400721382,1,3,27993
ARA Werdhoelzli,2023-05-25T00:00:00Z,IBV-M,respv4,2019.6526340904163,2,3,28621
ARA Werdhoelzli,2023-05-25T00:00:00Z,RSV-N,respv4,0,1,3,28621
ARA Werdhoelzli,2023-05-25T00:00:00Z,RSV-N,respv4,0,2,3,27993
ARA Werdhoelzli,2023-05-25T00:00:00Z,SARS-N2,respv4,181999.6924622979,1,3,27993
ARA Werdhoelzli,2023-05-25T00:00:00Z,SARS-N2,respv4,159770.37229336306,2,3,28621
ARA Werdhoelzli,2023-05-26T00:00:00Z,SARS-N1,n1mhv,91364.23947779177,1,3,25960
ARA Werdhoelzli,2023-05-26T00:00:00Z,SARS-N1,n1mhv,81540.28347137458,2,3,26957
ARA Werdhoelzli,2023-05-27T00:00:00Z,SARS-N1,n1mhv,206134.429003932,1,3,26968
ARA Werdhoelzli,2023-05-27T00:00:00Z,SARS-N1,n1mhv,201938.02035684392,2,3,23513
ARA Werdhoelzli,2023-05-27T00:00:00Z,IAV-M,respv4,0,1,3,27694
ARA Werdhoelzli,2023-05-27T00:00:00Z,IAV-M,respv4,0,2,3,28038
ARA Werdhoelzli,2023-05-27T00:00:00Z,IBV-M,respv4,6185.165936896215,1,3,28038
ARA Werdhoelzli,2023-05-27T00:00:00Z,IBV-M,respv4,2087.257595260532,2,3,27694
ARA Werdhoelzli,2023-05-27T00:00:00Z,RSV-N,respv4,2087.257595260532,1,3,27694
