SampleName,file_name,TotalDroplets
05_2023-01-14,20230118_RESPV4_01090115_11.xlsx,24574
05_2023-01-14,20230118_RESPV4_01090115_11.xlsx,25929
05_2023-01-15,20230118_RESPV4_01090115_11.xlsx,27644
05_2023-01-15,20230118_RESPV4_01090115_11.xlsx,26051
05_2023-01-16,20230125_RESPV4_01160122_13.xlsx,19541
05_2023-01-16,20230125_RESPV4_01160122_13.xlsx,19980
05_2023-01-17,20230125_RESPV4_01160122_13.xlsx,18744
05_2023-01-17,20230125_RESPV4_01160122_13.xlsx,21064
05_2023-01-19,20230125_RESPV4_01160122_13.xlsx,19856
05_2023-01-19,20230125_RESPV4_01160122_13.xlsx,19174
05_2023-01-21,20230125_RESPV4_01160122_13.xlsx,16922
05_2023-01-21,20230125_RESPV4_01160122_13.xlsx,25303
05_2023-01-22,20230125_RESPV4_01160122_13.xlsx,21309
05_2023-01-22,20230125_RESPV4_01160122_13.xlsx,20084
05_2023-01-23,20230201_RESPV4_01230129_12.xlsx,28147
05_2023-01-23,20230201_RESPV4_01230129_12.xlsx,27871
05_2023-01-24,20230201_RESPV4_01230129_12.xlsx,18171
05_2023-01-24,20230201_RESPV4_01230129_12.xlsx,28609
05_2023-01-26,20230201_RESPV4_01230129_12.xlsx,27319
05_2023-01-26,20230201_RESPV4_01230129_12.xlsx,24522
05_2023-01-28,20230201_RESPV4_01230129_12.xlsx,24247
05_2023-01-28,20230201_RESPV4_01230129_12.xlsx,24669
05_2023-01-29,20230201_RESPV4_01230129_12.xlsx,3788
05_2023-01-29,20230201_RESPV4_01230129_12.xlsx,25676
05_2023-01-30,20230208_RESPV4_01300205_11.xlsx,27456
05_2023-01-30,20230208_RESPV4_01300205_11.xlsx,26898
05_2023-01-31,20230208_RESPV4_01300205_11.xlsx,26510
05_2023-01-31,20230208_RESPV4_01300205_11.xlsx,27462
05_2023-02-02,20230208_RESPV4_01300205_11.xlsx,26339
05_2023-02-02,20230208_RESPV4_01300205_11.xlsx,26076
05_2023-02-04,20230208_RESPV4_01300205_11.xlsx,26896
05_2023-02-04,20230208_RESPV4_01300205_11.xlsx,27287
05_2023-02-05,20230208_RESPV4_01300205_11.xlsx,26512
05_2023-02-05,20230208_RESPV4_01300205_11.xlsx,26764
05_2023-02-06,20230215_RESPV4_02060212_10.xlsx,27881
05_2023-02-06,20230215_RESPV4_02060212_10.xlsx,27809
05_2023-02-07,20230215_RESPV4_02060212_10.xlsx,27775
05_2023-02-07,20230215_RESPV4_02060212_10.xlsx,27883
05_2023-02-09,20230215_RESPV4_02060212_10.xlsx,28361
05_2023-02-09,20230215_RESPV4_02060212_10.xlsx,10601
05_2023-02-11,20230215_RESPV4_02060212_10.xlsx,27237
05_2023-02-11,20230215_RESPV4_02060212_10.xlsx,27936
05_2023-02-12,20230215_RESPV4_02060212_10.xlsx,28589
05_2023-02-12,20230215_RESPV4_02060212_10.xlsx,27557
05_2023-02-13,20230222_RESPV4_02130219_12.xlsx,26598
05_2023-02-13,20230222_RESPV4_02130219_12.xlsx,26337
05_2023-02-14,20230222_RESPV4_02130219_12.xlsx,26262
05_2023-02-14,20230222_RESPV4_02130219_12.xlsx,26690
05_2023-02-16,20230222_RESPV4_02130219_12.xlsx,25193
05_2023-02-16,20230222_RESPV4_02130219_12.xlsx,25825
05_2023-02-18,20230222_RESPV4_02130219_12.xlsx,25421
05_2023-02-18,20230222_RESPV4_02130219_12.xlsx,25392
05_2023-02-19,20230222_RESPV4_02130219_12.xlsx,26682
05_2023-02-19,20230222_RESPV4_02130219_12.xlsx,21856
05_2023-02-20,20230301_RESPV4_02200226_10.xlsx,27385
05_2023-02-20,20230301_RESPV4_02200226_10.xlsx,27005
05_2023-02-21,20230301_RESPV4_02200226_10.xlsx,26994
05_2023-02-21,20230301_RESPV4_02200226_10.xlsx,27637
05_2023-02-23,20230301_RESPV4_02200226_10.xlsx,28021
05_2023-02-23,20230301_RESPV4_02200226_10.xlsx,26934
05_2023-02-25,20230301_RESPV4_02200226_10.xlsx,25443
05_2023-02-25,20230301_RESPV4_02200226_10.xlsx,27729
05_2023-02-26,20230301_RESPV4_02200226_10.xlsx,26732
05_2023-02-26,20230301_RESPV4_02200226_10.xlsx,24586
05_2023-02-27,20230308_RESPV4_02270305_10.xlsx,29146
05_2023-02-27,20230308_RESPV4_02270305_10.xlsx,28786
05_2023-02-28,20230308_RESPV4_02270305_10.xlsx,28481
05_2023-02-28,20230308_RESPV4_02270305_10.xlsx,27249
05_2023-03-02,20230308_RESPV4_02270305_10.xlsx,29112
05_2023-03-02,20230308_RESPV4_02270305_10.xlsx,24522
05_2023-03-04,20230308_RESPV4_02270305_10.xlsx,26976
05_2023-03-04,20230308_RESPV4_02270305_10.xlsx,28407
05_2023-03-05,20230308_RESPV4_02270305_10.xlsx,28156
05_2023-03-05,20230308_RESPV4_02270305_10.xlsx,25658
05_2023-03-06,20230315_RESPV4_03060312_10.xlsx,28063
05_2023-03-06,20230315_RESPV4_03060312_10.xlsx,27258
05_2023-03-07,20230315_RESPV4_03060312_10.xlsx,24522
05_2023-03-07,20230315_RESPV4_03060312_10.xlsx,27025
05_2023-03-09,20230315_RESPV4_03060312_10.xlsx,25650
05_2023-03-09,20230315_RESPV4_03060312_10.xlsx,27103
05_2023-03-11,20230315_RESPV4_03060312_10.xlsx,27072
05_2023-03-11,20230315_RESPV4_03060312_10.xlsx,27076
05_2023-03-12,20230315_RESPV4_03060312_10.xlsx,27028
05_2023-03-12,20230315_RESPV4_03060312_10.xlsx,26759
05_2023-03-13,20230322_RESPV4_03130319_10.xlsx,27191
05_2023-03-13,20230322_RESPV4_03130319_10.xlsx,21982
05_2023-03-14,20230322_RESPV4_03130319_10.xlsx,23893
05_2023-03-14,20230322_RESPV4_03130319_10.xlsx,22972
05_2023-03-16,20230322_RESPV4_03130319_10.xlsx,28880
05_2023-03-16,20230322_RESPV4_03130319_10.xlsx,25424
05_2023-03-18,20230322_RESPV4_03130319_10.xlsx,27320
05_2023-03-18,20230322_RESPV4_03130319_10.xlsx,27431
05_2023-03-19,20230322_RESPV4_03130319_10.xlsx,28451
05_2023-03-20,20230330_RESPV4_03200321_9.xlsx,28159
05_2023-03-20,20230330_RESPV4_03200321_9.xlsx,26566
05_2023-03-21,20230330_RESPV4_03200321_9.xlsx,26114
05_2023-03-21,20230330_RESPV4_03200321_9.xlsx,28158
05_2023-03-23,20230403_RESPV4_03230328_10.xlsx,28663
05_2023-03-23,20230403_RESPV4_03230328_10.xlsx,27625
05_2023-03-25,20230403_RESPV4_03230328_10.xlsx,27815
05_2023-03-25,20230403_RESPV4_03230328_10.xlsx,28398
05_2023-03-26,20230403_RESPV4_03230328_10.xlsx,29350
05_2023-03-26,20230403_RESPV4_03230328_10.xlsx,28556
05_2023-03-27,20230403_RESPV4_03230328_10.xlsx,28023
05_2023-03-27,20230403_RESPV4_03230328_10.xlsx,28621
05_2023-03-28,20230403_RESPV4_03230328_10.xlsx,29152
05_2023-03-28,20230403_RESPV4_03230328_10.xlsx,27943
05_2023-03-30,20230411_RESPV4_03300404_09.xlsx,27907
05_2023-03-30,20230411_RESPV4_03300404_09.xlsx,27423
05_2023-04-01,20230411_RESPV4_03300404_09.xlsx,28168
05_2023-04-01,20230411_RESPV4_03300404_09.xlsx,28051
05_2023-04-01,20230508_RESPV4_04270502_10.xlsx,7990
05_2023-04-01,20230508_RESPV4_04270502_10.xlsx,25618
05_2023-04-02,20230411_RESPV4_03300404_09.xlsx,29087
05_2023-04-02,20230411_RESPV4_03300404_09.xlsx,28528
05_2023-04-02,20230508_RESPV4_04270502_10.xlsx,27677
05_2023-04-02,20230508_RESPV4_04270502_10.xlsx,27106
05_2023-04-03,20230411_RESPV4_03300404_09.xlsx,28400
